Dish Name,Region,Ingredients,Cooking Method,Cultural Notes,Preservation Score
CHICKEN CURRY,INDIA,"chicken, onion, tomato, garlic, ginger, green chilli, turmeric powder, red chilli powder, coriander powder, garam masala, cumin seeds, curry leaves, cooking oil, salt, fresh coriander","1.Heat oil in a pan and add cumin seeds and curry leaves.
2.Add chopped onions and sauté until golden brown.
3.Add ginger and garlic paste and cook until the raw smell disappears.
4.Add chopped tomatoes and cook until soft.
5.Add spices: turmeric powder, red chilli powder, coriander powder, and salt.
6.Mix well and cook for 2–3 minutes.
7.Add chicken pieces and coat them with the masala.
8.Add some water, cover the pan, and cook for 20–25 minutes until the chicken is tender.
9.Add garam masala and simmer for 2–3 minutes.
10.Garnish with fresh coriander leaves and serve hot.",,85
Chole bature,"Punjab,India","Maida, chole, mirchi, dahi, onions, cerals,salt, masala, turmeric, lemon, cloves, oil","1. make the balls of maida and squeeze like circles and fry on a bowl of edible oil
2. soak all cerlas a night before
3. cook the ccurry",,92
Butter chiken,India,"chiken , butter, salt, coriander, spices, cloves , curry leaves, freeddom oil chala light ga untadhi miss",I don;t know,,95
Butter chiken,India,"chiken , butter, salt, coriander, spices, cloves , curry leaves, freeddom oil chala light ga untadhi miss",I don;t know,,75
Chicken,dont know,dont know,dont know,,165
Chicken,India,dont know,dont know,,30
Chicken,India,Dont Know,Dont Know,,30
Chole Bhature,India,dont know,dont know,,20
Chicken curry,India,"Chicken,turmeric,chilli powder,garam masala, ginger, green chillies, cooking oil, etc",dont know,,100
panipuri,India,"puri, pani, batani",dont know,,30
Grq api,Python,awqdq,cqe,cqef,100
focus curry,Python,"rahman,jaya,ram,tiru",cqe,cqef,100
focus curry,Python,"rahman,jaya,ram,etc.",,,100
Biriyani,India,"basmati rice, curd, chicken, ginger garlic paste, sunflower oil",dont know,dont know,0
